,Posted On,BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,house_floor,no_floor
1043,6/13/2022,1,75000,550,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,7,10
1044,6/27/2022,1,14000,270,Carpet Area,Poisar,Mumbai,Unfurnished,Bachelors,1,Contact Owner,6,7
1045,7/6/2022,3,130000,960,Carpet Area,7 Bungalows Andheri West,Mumbai,Semi-Furnished,Family,3,Contact Agent,9,21
1046,4/29/2022,3,40000,1200,Super Area,Kandivali West,Mumbai,Semi-Furnished,Family,2,Contact Owner,2,4
1047,5/27/2022,2,46000,710,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,15,18
1048,7/4/2022,1,27000,472,Carpet Area,"Marathon Embryo, Bhandup West",Mumbai,Semi-Furnished,Bachelors,2,Contact Owner,13,14
1049,5/26/2022,2,95000,1000,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,10,13
1050,7/9/2022,2,94000,800,Carpet Area,"Kanakia Hollywood, Sai Nagar",Mumbai,Semi-Furnished,Family,2,Contact Agent,14,18
1051,6/30/2022,2,40000,650,Carpet Area,"Gaurav Heights, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,7,11
1052,7/4/2022,3,150000,1300,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,6,7
1053,7/7/2022,2,30000,600,Carpet Area,"Gokul Apartment, Evershine Nagar",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,5
1054,6/16/2022,2,95000,750,Carpet Area,Opera House,Mumbai,Furnished,Bachelors,2,Contact Agent,7,10
1055,6/16/2022,2,130000,890,Carpet Area,"Lodha The Park, Worli",Mumbai,Semi-Furnished,Family,2,Contact Agent,45,77
1056,5/27/2022,1,14000,421,Carpet Area,Borivali East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,3,4
1057,5/27/2022,3,100000,1300,Carpet Area,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Family,3,Contact Agent,12,24
1058,7/5/2022,1,35000,350,Super Area,Dadar West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
1059,6/7/2022,2,57000,800,Carpet Area,"Nahar Amrit Shakti powai, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,5,20
1060,7/6/2022,2,45000,650,Carpet Area,Santacruz East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,5,6
1061,4/29/2022,1,11000,650,Super Area,Mira Road,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,18,19
1062,5/14/2022,2,50000,650,Carpet Area,"Sheth Montana, Mulund West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,10,20
1063,5/27/2022,2,35000,680,Carpet Area,"Parinee Adney, Borivali West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,12,20
1064,7/6/2022,2,100000,800,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,1,5
1065,7/6/2022,3,130000,1250,Carpet Area,"Adani Western Heights, 4 Bunglows",Mumbai,Semi-Furnished,Family,3,Contact Agent,12,29
1066,5/23/2022,1,52000,475,Carpet Area,Shivaji Park,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,10,18
1067,7/7/2022,2,28000,600,Carpet Area,"Gokul Apartment, Evershine Nagar",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,1,5
1068,4/29/2022,1,18000,450,Super Area,"Nem Vihar, Mulund West",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2,4
1069,6/4/2022,1,30000,400,Super Area,Bhatti Pada,Mumbai,Unfurnished,Bachelors,1,Contact Owner,3,6
1070,7/6/2022,3,45000,985,Carpet Area,"Gemstar Symphony Apartment, Kandivali West",Mumbai,Unfurnished,Family,3,Contact Agent,Lower Basement,18
1071,5/27/2022,3,130000,1450,Carpet Area,Shivaji Park,Mumbai,Unfurnished,Bachelors,3,Contact Agent,3,7
1072,5/27/2022,2,58000,650,Carpet Area,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Family,2,Contact Agent,15,24
1073,7/6/2022,2,65000,805,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,48,68
1074,5/27/2022,1,24000,650,Super Area,Malad East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
1075,7/9/2022,1,54500,515,Carpet Area,"Lodha New Cuffe Parade, Wadala East",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,12,42
1076,6/12/2022,3,70000,1000,Carpet Area,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,15,20
1077,6/7/2022,3,67000,1050,Carpet Area,Chembur,Mumbai,Semi-Furnished,Family,3,Contact Agent,6,8
1078,7/9/2022,2,75000,777,Carpet Area,"Hiranandani Castle Rock, Powai",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,17,22
1079,6/11/2022,2,45000,831,Carpet Area,"Kaustubh Platinum, Datta Pada",Mumbai,Unfurnished,Family,2,Contact Agent,16,22
1080,7/6/2022,3,98000,1233,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,35,68
1081,6/11/2022,1,16000,250,Carpet Area,Charkop,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,4,10
1082,5/14/2022,2,95000,900,Carpet Area,"Oberoi Springs, Andheri West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,18,30
1083,7/6/2022,2,40000,753,Carpet Area,"Omkar Ananta, Film City Road",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,11,31
1084,6/10/2022,3,300000,1800,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors,3,Contact Agent,8,12
1085,7/6/2022,2,80000,670,Carpet Area,Matunga East,Mumbai,Unfurnished,Bachelors,2,Contact Agent,5,17
1086,7/9/2022,4,380000,2800,Carpet Area,"Omkar 1973, Worli",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,50,75
1087,7/9/2022,3,160000,1197,Carpet Area,"Aristo Pearl Residency, Prabhadevi",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,18,26
1088,6/27/2022,2,44000,880,Carpet Area,orchid suburbia,Mumbai,Unfurnished,Bachelors,2,Contact Owner,12,27
1089,5/16/2022,2,200000,1000,Carpet Area,Union Park,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,7,8
1090,4/29/2022,2,65000,935,Super Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,7
1091,7/6/2022,2,50000,751,Carpet Area,"Raj Legacy, Vikhroli West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,16,20
1092,7/4/2022,1,6000,200,Super Area,"Sonal Apartment, Bhandari Compound",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,5
1093,6/13/2022,4,280000,2500,Carpet Area,"Island City Centre, Dadar East",Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Agent,24,55
1094,7/9/2022,1,46000,500,Carpet Area,"Sundar Nagar, Kalina",Mumbai,Furnished,Family,1,Contact Agent,6,8
1095,5/31/2022,1,35000,430,Carpet Area,"Conwood Astoria, Film City Road",Mumbai,Furnished,Bachelors/Family,1,Contact Agent,15,23
1096,7/6/2022,3,75000,1088,Carpet Area,"Sunteck City Avenue 1, Goregaon West",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,16,37
1097,5/10/2022,1,20000,330,Carpet Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,4,8
1098,4/29/2022,1,25000,400,Carpet Area,shanti kutir tunga village powai,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,Upper Basement,7
1099,6/27/2022,3,110000,1200,Carpet Area,"Salvation CHS, Dadar West",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,6,15
1100,6/28/2022,2,29500,700,Carpet Area,Borivali West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2,7
1101,7/9/2022,3,53000,1000,Carpet Area,"Mahindra Splendour, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,16,32
1102,6/12/2022,2,85000,750,Carpet Area,"Hiranandani Atlantis, Hiranandani Gardens",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,11,27
1103,6/12/2022,1,26000,450,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Agent,6,10
1104,4/29/2022,1,33000,640,Super Area,Bhandup West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,11,23
1105,7/8/2022,3,180000,1190,Carpet Area,"L Nagpal Ruby, Turner Road",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,5,12
1106,6/23/2022,3,70000,850,Super Area,Chembur,Mumbai,Unfurnished,Bachelors,3,Contact Agent,5,8
1107,7/7/2022,1,17000,330,Carpet Area,Jankalyan Nagar,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,Ground,7
1108,5/13/2022,2,37000,685,Carpet Area,Mulund West,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,10,18
1109,6/12/2022,1,27000,400,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Agent,6,10
1110,6/15/2022,1,35500,500,Carpet Area,"Mayfair Sonata Greens, Park Site Colony",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,8,13
1111,5/24/2022,1,24000,550,Carpet Area,Mulund West,Mumbai,Unfurnished,Bachelors,1,Contact Agent,2,4
1112,6/11/2022,4,250000,2500,Carpet Area,Juhu,Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent,2,8
1113,5/14/2022,3,180000,1100,Carpet Area,JVPD Scheme,Mumbai,Furnished,Family,3,Contact Agent,6,15
1114,5/31/2022,2,18500,650,Carpet Area,"Swayam Apartment, Poonam Gardens",Mumbai,Unfurnished,Family,2,Contact Agent,3,12
1115,7/9/2022,3,200000,1400,Carpet Area,"Hill Road, Bandra West",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,8,17
1116,7/4/2022,2,70000,1050,Carpet Area,"Godrej Prime, Chembur",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,14,15
1117,6/4/2022,3,55000,850,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,3,Contact Agent,6,7
1118,5/23/2022,1,24000,550,Carpet Area,Ghatkopar West,Mumbai,Unfurnished,Bachelors,1,Contact Agent,Ground,4
1119,6/23/2022,2,55000,750,Carpet Area,Chandivali,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,5,8
1120,7/9/2022,3,150000,1350,Carpet Area,"Kalpataru Antariksha, Prabhadevi",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,23,25
1121,6/25/2022,2,50000,800,Carpet Area,Santacruz East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,5,8
1122,7/6/2022,4,300000,2650,Carpet Area,"Lodha Bellissimo, Mahalakshmi",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,14,48
1123,7/6/2022,3,90100,975,Carpet Area,Goregaon East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,29,35
1124,6/16/2022,3,57000,1325,Carpet Area,"Raheja Exotica Sorento, Madh",Mumbai,Furnished,Bachelors/Family,4,Contact Agent,15,36
1125,4/29/2022,2,40000,700,Super Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,6
1126,7/9/2022,2,80000,700,Carpet Area,Hindu Colony,Mumbai,Furnished,Family,2,Contact Agent,3,8
1127,6/23/2022,2,95000,850,Carpet Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,15,25
1128,6/22/2022,1,14000,305,Carpet Area,Ekta Nagar,Mumbai,Unfurnished,Bachelors,1,Contact Agent,10,24
1129,6/14/2022,2,50000,850,Carpet Area,"Dsk Madhuban, Sakinaka Junction",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,8,10
1130,6/14/2022,2,43000,724,Carpet Area,"Akruti Orchid Park, Sakinaka Junction",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,6,11
1131,6/12/2022,2,55000,650,Carpet Area,Andheri West,Mumbai,Furnished,Bachelors,2,Contact Agent,8,16
1132,6/16/2022,2,35000,650,Carpet Area,Nahur Gaothan,Mumbai,Unfurnished,Family,2,Contact Agent,5,7
1133,6/15/2022,2,33000,700,Carpet Area,"Acme Avenue, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,15,28
1134,5/26/2022,2,47000,785,Carpet Area,JB Nagar,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,4,7
1135,6/27/2022,3,75000,1250,Carpet Area,"Laksharia Tower, Andheri West",Mumbai,Semi-Furnished,Family,3,Contact Agent,15,20
1136,7/7/2022,4,45000,1016,Carpet Area,"Oasis, Lokhandwala Twp",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,3,36
1137,5/28/2022,1,36000,380,Carpet Area,Mazgaon,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,12,20
1138,5/14/2022,1,40000,475,Carpet Area,"Sanghvi Evana, Worli",Mumbai,Unfurnished,Bachelors,1,Contact Agent,18,23
1139,7/3/2022,1,40000,444,Carpet Area,Sakinaka Junction,Mumbai,Unfurnished,Bachelors,2,Contact Agent,8,11
1140,6/20/2022,2,32000,640,Carpet Area,"GSA Grandeur, Gokuldham",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,6,20
1141,6/2/2022,1,17000,320,Carpet Area,"Midas PMGP Mhada Colony, PMGP Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,23,23
1142,5/13/2022,3,77000,1100,Carpet Area,"Auris Serenity, Adarsh Nagar",Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent,16,21
1143,6/16/2022,4,290000,1500,Carpet Area,"Benchmark Solus, Waterfield Road",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,5,15
1144,5/18/2022,2,35000,650,Carpet Area,"Evershine Millenium Paradise, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,6,8
1145,5/19/2022,1,40000,508,Carpet Area,"Kanakia Sevens, Marol Maroshi Road",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,16,18
1146,7/9/2022,4,250000,2500,Carpet Area,JVPD Scheme,Mumbai,Furnished,Bachelors/Family,4,Contact Agent,2,10
1147,5/22/2022,2,47000,720,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors,2,Contact Agent,Upper Basement,16
1148,4/29/2022,2,50000,750,Super Area,D.N. Nagar,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,5
1149,6/27/2022,1,32000,430,Carpet Area,"Sion East, Sion Koliwada",Mumbai,Unfurnished,Family,1,Contact Agent,2,3
1150,6/20/2022,2,8000,623,Carpet Area,"Shreenath nagar, Morya Nagar",Mumbai,Unfurnished,Family,2,Contact Agent,6,7
1151,7/9/2022,3,240000,1358,Carpet Area,"Lodha Kiara, Worli Hill",Mumbai,Semi-Furnished,Family,4,Contact Agent,40,50
1152,7/7/2022,3,85000,1000,Carpet Area,"Lodha Eternis, Chakala MIDC",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,4,11
1153,6/28/2022,3,65000,1100,Carpet Area,"Sejal Tower, Goregaon West",Mumbai,Unfurnished,Bachelors,3,Contact Agent,25,28
1154,7/3/2022,3,75000,1255,Carpet Area,Bhakti Park,Mumbai,Furnished,Bachelors/Family,3,Contact Owner,12,17
1155,5/27/2022,1,26500,450,Carpet Area,"Vasant Sagar, Thakur Village, Kandivali East",Mumbai,Furnished,Family,2,Contact Agent,5,8
1156,6/16/2022,2,45000,650,Carpet Area,"Akruti Aneri, Marol",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,3,7
1157,7/6/2022,2,95000,955,Carpet Area,"Lodha New Cuffe Parade, Bhakti Park",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,34,40
1158,5/22/2022,2,38000,700,Carpet Area,"Altavista, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,Upper Basement,22
1159,7/6/2022,3,260000,1915,Super Area,"Ashford Casa Grande, Lower Parel",Mumbai,Semi-Furnished,Family,4,Contact Agent,8,23
1160,6/3/2022,4,300000,2308,Carpet Area,"Windsor Grande Residences, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Agent,9,31
1161,7/9/2022,3,180000,1250,Carpet Area,"Ekta Trinity, Santacruz West",Mumbai,Semi-Furnished,Family,3,Contact Agent,11,13
1162,6/4/2022,2,40000,625,Carpet Area,"Kailash Tower, Powai",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,6,14
1163,5/17/2022,4,300000,2200,Carpet Area,JVPD Scheme,Mumbai,Furnished,Family,4,Contact Agent,7,8
1164,6/20/2022,2,85000,870,Carpet Area,"Royal Residency, Lal Baug",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,5,21
1165,6/4/2022,3,110000,1300,Carpet Area,Kalina,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,4,12
1166,6/23/2022,2,40000,750,Carpet Area,"Techno Park I, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent,2,8
1167,7/6/2022,2,45000,750,Super Area,Andheri East,Mumbai,Furnished,Bachelors,2,Contact Owner,2,8
1168,6/4/2022,2,52000,550,Carpet Area,Kalina,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,3,9
1169,7/6/2022,4,90000,1250,Carpet Area,Andheri West,Mumbai,Furnished,Family,4,Contact Agent,2,7
1170,7/9/2022,3,140000,1400,Carpet Area,"Insignia, Bandra Kurla Complex",Mumbai,Semi-Furnished,Family,3,Contact Agent,11,13
1171,6/23/2022,3,150000,1330,Carpet Area,"Oberoi Esquire, Goregaon East",Mumbai,Semi-Furnished,Family,4,Contact Agent,32,59
1172,6/23/2022,3,65000,1000,Carpet Area,Chembur,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,5,10
1173,5/31/2022,2,50000,770,Carpet Area,"Sufalam CHS, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4,14
1174,6/16/2022,2,54000,800,Carpet Area,"Shimpla Vighnaharta CHS, Seven Bungalows",Mumbai,Unfurnished,Family,2,Contact Agent,3,7
1175,5/29/2022,4,180000,1691,Carpet Area,"Oberoi Prisma, Agarkar Chowk",Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Agent,20,32
1176,5/14/2022,1,60000,550,Carpet Area,"Neumec Elegance, Lower Parel",Mumbai,Furnished,Bachelors,2,Contact Agent,12,20
1177,7/9/2022,2,65000,800,Carpet Area,Andheri West,Mumbai,Unfurnished,Family,2,Contact Agent,10,14
1178,7/9/2022,2,35000,615,Carpet Area,"Aspire, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent,6,14
1179,6/25/2022,2,43000,663,Carpet Area,"Wadhwa Atmosphere, Mulund West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,25,43
1180,6/16/2022,1,20000,400,Carpet Area,Bhandup,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
1181,6/4/2022,2,57000,625,Carpet Area,"Panch Complex, Powai",Mumbai,Furnished,Bachelors,2,Contact Agent,9,18
1182,6/16/2022,4,130000,1432,Carpet Area,"Sabari Ashville, Chembur East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,12,20
1183,5/24/2022,1,25000,425,Carpet Area,Mulund West,Mumbai,Unfurnished,Bachelors,1,Contact Agent,3,5
1184,6/12/2022,2,56000,649,Carpet Area,"Promenade At The Address, Ghatkopar West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,5,22
1185,5/14/2022,2,55000,905,Carpet Area,"Sunteck City Avenue 1, Goregaon West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,10,37
1186,4/27/2022,2,18000,882,Super Area,"DB Ozone, Mira Road",Mumbai,Unfurnished,Bachelors,2,Contact Owner,10,22
1187,6/27/2022,3,100000,1200,Carpet Area,"Salvation CHS, Dadar West",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,4,15
1188,5/31/2022,2,76000,736,Carpet Area,"Rustomjee Elanza, Mindspace",Mumbai,Unfurnished,Family,2,Contact Agent,16,36
1189,7/9/2022,3,270000,1710,Carpet Area,"Lodha Bellissimo, Mahalakshmi",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,25,48
1190,6/24/2022,1,45000,225,Carpet Area,"simla house at nepeasea road, Napean Sea Road",Mumbai,Unfurnished,Bachelors,1,Contact Owner,3,6
1191,5/22/2022,2,39000,720,Carpet Area,"Altavista, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,Upper Basement,22
1192,6/7/2022,1,12500,555,Super Area,"Hubtown Gardenia, Mira Road",Mumbai,Unfurnished,Bachelors,1,Contact Owner,6,7
1193,7/7/2022,1,35000,415,Super Area,Andheri East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2,7
1194,6/12/2022,2,55000,649,Carpet Area,"Promenade At The Address, Ghatkopar West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,4,22
1195,6/15/2022,3,90000,1000,Carpet Area,Vile Parle West,Mumbai,Furnished,Bachelors,2,Contact Agent,3,3
1196,6/4/2022,2,250000,1300,Carpet Area,Khar West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,Upper Basement,10
1197,6/24/2022,2,25000,1065,Super Area,"Gaurav Excellency, Mira Road",Mumbai,Furnished,Bachelors/Family,2,Contact Owner,15,15
1198,7/8/2022,2,90000,854,Carpet Area,"Kanakia Paris, Bandra Kurla Complex",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,15,20
1199,6/27/2022,3,120000,1200,Carpet Area,"Salvation CHS, Dadar West",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,5,14
1200,6/6/2022,1,55000,500,Carpet Area,Hiranandani Gardens,Mumbai,Unfurnished,Bachelors,1,Contact Agent,8,18
1201,5/31/2022,3,70000,906,Carpet Area,"Sanjona Gulmarg Towers, Chembur East",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,7,10
1202,6/22/2022,3,300000,1800,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,4,Contact Agent,11,11
1203,5/26/2022,2,25000,500,Carpet Area,New Devchhaya Building,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,1,3
1204,6/16/2022,1,35000,450,Super Area,Goregaon West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2,7
1205,7/9/2022,3,120000,1130,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,3,7
1206,6/4/2022,1,27000,495,Super Area,Andheri East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,5,7
1207,5/19/2022,1,25000,407,Super Area,Devi Pada,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,5,23
1208,6/16/2022,3,150000,1092,Carpet Area,"Lodha The Park, Worli",Mumbai,Semi-Furnished,Family,3,Contact Agent,60,77
1209,7/7/2022,2,32000,610,Carpet Area,"The Windsor, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent,11,18
1210,7/7/2022,1,40000,500,Super Area,"Manavsthal, Andheri East",Mumbai,Furnished,Bachelors/Family,2,Contact Owner,13,14
1211,5/31/2022,2,52000,750,Carpet Area,"vanamali chs ghatla, Ghatla",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4,20
1212,6/18/2022,2,80000,750,Carpet Area,"lokhandwala residency, Worli",Mumbai,Furnished,Bachelors,2,Contact Agent,6,16
1213,6/23/2022,2,55000,850,Carpet Area,"Adityavardhan Apartment, Raheja Vihar",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,6,10
1214,6/4/2022,1,30000,350,Carpet Area,Prabhadevi,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,5,16
1215,6/4/2022,1,20000,300,Carpet Area,"Sundar Nagar, Kalina",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,2,12
1216,5/23/2022,1,85000,695,Carpet Area,Union Park,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2,7
1217,6/16/2022,1,40000,415,Carpet Area,"Kanakia Rainforest, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,15,22
1218,6/25/2022,1,21000,450,Carpet Area,Bhandup Village,Mumbai,Unfurnished,Bachelors,2,Contact Agent,3,13
1219,6/23/2022,3,43000,850,Carpet Area,"Aspire, Kandivali East",Mumbai,Unfurnished,Family,3,Contact Agent,8,14
1220,5/11/2022,2,58000,805,Carpet Area,"Auris Serenity, Link Road",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,30,58
1221,7/6/2022,2,130000,700,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,7,10
1222,4/13/2022,3,260000,1800,Carpet Area,JVPD Scheme,Mumbai,Furnished,Family,4,Contact Agent,10,11
1223,6/27/2022,2,46000,669,Carpet Area,"Tulip at Runwal Forests, Kanjurmarg West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,15,43
1224,6/23/2022,1,6500,325,Carpet Area,"Unicorn Global Arena, Naigaon East",Mumbai,Unfurnished,Family,1,Contact Agent,7,16
1225,5/31/2022,1,21000,600,Super Area,Sher E Punjab Society,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,5,6
1226,5/22/2022,2,46000,725,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,Upper Basement,16
1227,6/3/2022,2,60000,750,Carpet Area,"Green Woods Chkala, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,5,9
1228,6/29/2022,3,65000,1050,Carpet Area,"Hillcrest, Andheri East",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent,13,21
1229,5/19/2022,2,15000,600,Carpet Area,Shilphata,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,18,28
1230,6/28/2022,2,130000,1000,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,10,13
1231,7/4/2022,3,90000,1110,Carpet Area,"Omkar Alta Monte, Kurar Village",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,9,55
1232,7/9/2022,2,62000,650,Carpet Area,Jacob Circle,Mumbai,Unfurnished,Family,2,Contact Agent,11,25
1233,6/8/2022,3,160000,1100,Carpet Area,Santacruz West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,8,10
1234,6/23/2022,3,80000,1100,Carpet Area,"Godrej Central, Chembur",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,15,28
1235,7/4/2022,3,80000,1110,Carpet Area,"Omkar Alta Monte, Kurar Village",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,49,55
1236,6/28/2022,3,55000,999,Carpet Area,"Orchid Residency, Link Road",Mumbai,Semi-Furnished,Family,2,Contact Agent,14,23
1237,6/22/2022,3,100000,1000,Carpet Area,Santacruz West,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,2,4
1238,7/9/2022,4,200000,2200,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,11,20
1239,6/2/2022,3,100000,1256,Carpet Area,"Satyam Springs, Deonar",Mumbai,Furnished,Family,3,Contact Agent,10,22
